"main_category","country","days_funding","year_launched","month_launched","usd_goal","funded"
"Photography","United States",31,"2011","March",3500,"yes"
"Film & Video","Canada",60,"2016","August",35066,"no"
"Games","United States",40,"2017","March",20000,"no"
"Fashion","Canada",30,"2017","October",8182,"no"
"Crafts","United States",35,"2014","October",6000,"no"
"Publishing","Australia",30,"2017","September",6685,"no"
"Games","United Kingdom",30,"2014","November",27913,"no"
"Games","United States",22,"2015","April",2500,"yes"
"Comics","United Kingdom",30,"2017","August",1117,"yes"
"Design","United States",30,"2014","February",20000,"no"
"Design","United Kingdom",27,"2015","February",8374,"no"
"Fashion","United States",30,"2015","May",7500,"yes"
"Film & Video","United Kingdom",37,"2016","July",13956,"yes"
"Comics","Canada",31,"2016","June",3117,"yes"
"Film & Video","United States",30,"2017","January",5000,"yes"
"Fashion","Australia",45,"2014","June",3802,"no"
"Technology","United States",30,"2014","July",10000,"no"
"Publishing","United States",30,"2017","March",4500,"no"
"Comics","Australia",30,"2017","January",5323,"yes"
"Film & Video","Australia",40,"2015","July",2281,"no"
"Theater","United States",32,"2016","January",3000,"yes"
"Technology","Sweden",20,"2015","May",2937,"no"
"Music","United States",25,"2012","May",10000,"yes"
"Comics","United Kingdom",20,"2016","April",1256,"yes"
"Photography","United States",31,"2011","July",3000,"yes"
"Art","Canada",30,"2015","May",1091,"no"
"Games","United States",43,"2011","May",24000,"no"
"Publishing","United States",60,"2015","March",20000,"no"
"Art","United States",15,"2015","July",5000,"no"
"Art","United States",30,"2017","March",10000,"no"
"Crafts","United Kingdom",45,"2015","May",1396,"no"
"Technology","United Kingdom",30,"2017","September",34891,"no"
"Film & Video","United States",30,"2015","March",45522,"no"
"Film & Video","United States",32,"2012","September",45000,"yes"
"Food","United States",45,"2012","August",10000,"yes"
"Film & Video","United Kingdom",28,"2014","February",40474,"no"
"Design","Switzerland",30,"2017","June",15327,"yes"
"Technology","Germany",30,"2016","May",30548,"yes"
"Design","Germany",40,"2016","September",13441,"no"
"Technology","Canada",10,"2014","September",3896,"no"
"Technology","United States",60,"2012","March",10000,"no"
"Music","United Kingdom",30,"2017","October",4187,"yes"
"Publishing","United Kingdom",30,"2013","July",2791,"no"
"Crafts","Mexico",60,"2017","January",2119,"yes"
"Crafts","United States",15,"2016","January",2800,"no"
"Games","United Kingdom",35,"2014","October",1814,"no"
"Photography","Canada",30,"2015","March",2875,"yes"
"Film & Video","Australia",30,"2015","April",7604,"no"
"Dance","Australia",41,"2016","June",22811,"yes"
"Design","Italy",30,"2017","June",30548,"no"
"Games","United States",16,"2015","January",10000,"yes"
"Film & Video","United States",20,"2012","September",3500,"yes"
"Food","United States",60,"2014","July",15000,"no"
"Design","Canada",30,"2016","May",11689,"no"
"Games","United States",30,"2016","March",25000,"no"
"Fashion","Switzerland",30,"2017","May",1012,"no"
"Publishing","United Kingdom",30,"2016","July",7676,"no"
"Design","Canada",40,"2014","October",6234,"no"
"Theater","United States",60,"2014","November",5000,"yes"
"Music","United States",55,"2014","July",1500,"no"
"Games","Australia",28,"2016","May",2281,"yes"
"Food","United Kingdom",60,"2014","October",27913,"no"
"Photography","United States",60,"2011","December",16000,"no"
"Games","Australia",40,"2017","February",5323,"no"
"Technology","Sweden",30,"2015","July",5874,"no"
